StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q44,Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q15,Q16,Q18,Q19,Q20,Q22,Q23,Q25,Q27,Q33,Q34,Q35,Q36,Q41,Q43,Q37,Q38
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,What is your gender?,"How often do you use voice assistants? (Siri, Alexa, Google assistant, and the like)",What gender is your voice assistant set to?,I think that major voice assistants are mostly gendered female by default,I think that major voice assistants are mostly gendered male by default,I think that there is no dominating gendering pattern in major voice assistants,I think that virtual assistants enforce (existing) gender stereotypes,I think that developers of voice assistants *should* take care to avoid enforcing (existing) gender stereotypes,I think that developers of voice assistants *are* taking care to avoid enforcing (existing) gender stereotypes,I think that gender aspects of major voice assistants have an impact on gender stereotypes in society,I think that gender stereotypes perpetuated by major voice assistants disproportionately impact women,I think that gender stereotypes perpetuated by major voice assistants disproportionately impact men,I think that gender stereotypes perpetuated by major voice assistants disproportionately impact non-binary people,I think that gender stereotypes perpetuated by major voice assistants impact people with all genders equally,I think that the societal impact of gender stereotypes perpetuated by major voice assistants is significant,I think that the societal impact of gender stereotypes perpetuated by major voice assistants is bad,"As an AI student, I feel that the topic of gender in voice assistants is something I understand and have a good grasp of","As an AI student, I feel that the topic of gender in voice assistants is important to me","As an AI student, I feel that there is a need for change in how voice assistants are usually gendered","As an AI student, I feel like I can change the current state of how voice assistants are usually gendered","As an AI student, I want to make a difference in how voice assistants are usually gendered","As an AI student, I feel obligated to try to make a difference in how voice assistants are usually gendered","As an AI student, I feel like the feminization of AI is problematic","As an AI student, If I were to develop a voice assistent, I would take care to give it androgynous characteristics (not obviously male or female)","As an AI student, If I were to develop a voice assistent, I would take care to give it male characteristics","As an AI student, If I were to develop a voice assistent, I would take care to give it female characteristics","As an AI student, I feel like thinking about the gender characteristics of voice assistants is a waste of time","As an AI student, I feel like topic of gender in voice assistants is something I don't care about"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}"
2025-03-06 15:59:48,2025-03-06 16:01:20,1,,100,91,1,2025-03-06 16:01:20,R_8z4eF9ZJOdzFexj,,,,,51.8206,5.8715,preview,EN,123,2,5,2,4,3,4,4,3,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4
2025-03-06 16:08:25,2025-03-06 16:18:56,1,,100,630,1,2025-03-06 16:18:57,R_8Vvy0hSVhuPNij8,,,,,51.8206,5.8715,preview,EN,5,2,1,5,5,1,1,5,5,2,5,5,1,2,2,5,5,4,5,5,4,4,4,5,4,1,1,2,4
2025-03-08 23:45:44,2025-03-08 23:53:09,1,,100,445,1,2025-03-08 23:53:10,R_2pbuAOKyAO3CbvR,,,,,51.8063,5.8262,preview,EN,123,4,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2025-03-11 09:43:46,2025-03-11 09:44:28,1,,100,41,1,2025-03-11 09:44:28,R_8Pd0Syqjdx5oIho,,,,,51.8206,5.8715,preview,EN,123,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2025-03-11 11:09:21,2025-03-11 11:39:10,0,145.137.157.145,100,1789,1,2025-03-11 11:39:11,R_2MZ3gHNBubI9Gf7,,,,,51.8385,5.8731,anonymous,EN,d01,2,1,5,4,2,2,4,4,2,4,3,4,2,3,4,2,3,3,4,4,4,4,5,5,2,3,1,4
2025-03-11 11:08:00,2025-03-11 11:40:29,0,145.116.182.55,100,1948,1,2025-03-11 11:40:29,R_2gXEBQw3d0SsDJr,,,,,51.8323,5.8495,anonymous,EN,A00,1,1,2,4,2,2,4,4,3,1,3,3,2,2,2,4,3,2,3,2,3,2,2,5,3,3,4,5
2025-03-11 11:08:29,2025-03-11 11:42:02,0,145.116.162.125,100,2013,1,2025-03-11 11:42:02,R_8X7w9X7Xrl5QlwJ,,,,,51.8385,5.8731,anonymous,EN,P00,2,2,2,4,2,3,3,5,3,4,4,2,2,2,3,3,1,3,3,2,2,2,3,4,3,3,1,3
2025-03-11 11:19:43,2025-03-11 11:44:06,0,145.116.130.15,100,1462,1,2025-03-11 11:44:07,R_2dS5MXV2GSEIRZn,,,,,51.8323,5.8495,anonymous,EN,C00,1,5,2,5,1,1,4,5,4,4,3,1,4,4,4,3,3,4,4,4,4,4,3,4,3,3,3,4
2025-03-11 11:24:41,2025-03-11 11:45:39,0,145.116.161.31,100,1257,1,2025-03-11 11:45:40,R_20rDbR3PkHSD117,,,,,51.8385,5.8731,anonymous,EN,l01,4,1,5,4,2,3,4,4,2,3,3,3,3,3,4,3,3,2,3,2,3,3,4,4,3,2,3,3
2025-03-11 11:41:36,2025-03-11 11:53:02,0,145.137.157.145,100,685,1,2025-03-11 11:53:02,R_8fBMXh8RS4EhR17,,,,,51.8385,5.8731,anonymous,EN,d02,1,2,4,4,2,2,3,4,3,4,3,3,3,4,2,3,4,3,2,2,4,1,4,4,2,1,3,4
2025-03-11 11:47:06,2025-03-11 11:58:28,0,145.116.161.31,100,682,1,2025-03-11 11:58:29,R_23lkV2gOsWwevAU,,,,,51.8385,5.8731,anonymous,EN,L02,1,1,3,5,2,1,5,4,3,4,5,3,4,2,4,4,4,4,4,3,3,5,5,5,3,1,2,2
